48.375  533.625
53.3721580505  533.456420898
58.3696403503  533.297790527
63.3087882996  534.075500488
64.5  538.931518555
64.5  543.931518555
62.3918266296  548.465332031
62.1495704651  553.459472656
61.8784179688  558.452148438
61.3868103027  563.42791748
56.5322303772  564.625
51.5322303772  564.625
46.5322303772  564.625
42.7997894287  561.298034668
41.0924339294  556.598571777
39.8950309753  551.744018555
40.6000976562  546.794006348
41.7086105347  541.918457031
43.5845756531  537.283691406
47.3979606628  534.049804688
