19.5  321.0
24.4437236786  321.748046875
28.5053424835  324.664093018
30.256357193  329.347473145
31.4501266479  334.202850342
31.6704998016  339.197998047
32.0580291748  344.182952881
32.4852638245  349.164672852
30.5164718628  353.760742188
25.9750232697  355.85244751
21.0408859253  356.661315918
16.0638465881  356.18270874
14.1570329666  351.560577393
14.3362474442  346.563781738
14.375  341.563934326
14.3812017441  336.563934326
14.5  331.565368652
14.513628006  326.565368652
16.568523407  322.007141113
