32.0  516.5
36.9938850403  516.252746582
41.9925308228  516.369018555
46.9051742554  517.299560547
48.6642837524  521.979919434
49.5642356873  526.898254395
50.2590675354  531.849731445
50.5  536.843933105
47.9376678467  541.137451172
46.125  545.797302246
46.6775817871  550.766662598
47.4182662964  555.711547852
44.7356529236  559.930969238
39.7391090393  560.116760254
34.7569503784  560.538818359
29.7576942444  560.625
29.2987327576  555.646118164
28.8959503174  550.662353516
27.7668762207  545.791503906
26.875  540.871704102
27.8434581757  535.966369629
28.8502216339  531.068786621
28.6793956757  526.071716309
29.9191513062  521.227844238
31.8741207123  516.625854492
