341.0 305.0
342.019723277 306.379972744
341.945702547 308.071063563
340.051055593 308.139374293
338.797827833 308.150550864
337.731617127 308.238899602
336.995761438 307.289433317
336.137475678 307.023240754
335.801315622 306.189868483
335.780687067 305.370337828
334.794325764 304.465067582
335.801315622 303.810131517
336.984077643 303.896414134
337.096185295 302.939510015
337.814196473 302.757684891
338.552342346 302.818849402
339.367370395 302.907083804
339.380995891 303.925127753
341.073906036 303.944726725
341.0 305.0
