274.205160687 390.285549411 788.211044697
274.118665066 390.338642998 792.933948455
274.134951606 389.627686 797.706923978
274.129200937 390.331921521 803.373388744
274.335599103 390.338088176 808.029827754
274.674987466 389.891732736 867.631642456
274.747071812 390.09510085 872.414877983
274.327586091 389.919473363 877.514668415
274.303755266 390.306188394 882.948535693
274.978042924 394.559817003 787.911086392
274.418337863 394.427820016 793.158133179
274.239763294 394.495378587 797.812766476
274.285008651 394.372024774 803.286826737
274.591376538 394.288957171 807.234476315
274.487455134 393.718491575 867.893666918
274.918024804 393.914969447 873.039899116
275.019484835 394.082540182 877.362703989
274.6125416 394.294224139 883.293663977
275.169869417 398.489200605 800.093738687
274.443290776 398.350352667 803.071175316
274.643705579 398.100219545 807.534787178
274.477674556 397.97028297 868.00196405
274.617449075 402.439250496 802.243741605
274.769614248 402.273770903 808.256701876
274.584858817 402.156317488 867.979249708
274.988114244 406.602812441 803.01222217
274.402296785 406.271508304 867.615223639
278.699413812 409.644769196 792.506411777
279.462622882 410.308710642 797.503176636
282.499153668 409.975222235 800.726810695
278.325191901 410.030527155 807.193694918
278.710898605 409.983299123 812.636867383
277.777140258 409.887773155 817.630633184
274.400214905 409.821812073 817.66938083
274.245759605 409.621451123 823.264167906
274.693012493 410.678529333 828.573240673
275.749517397 410.410961633 860.440749559
274.661358348 410.336170566 867.933234074
275.476056856 409.842104044 875.239678007
279.953528771 410.238741685 882.213435167
277.644103312 410.357158136 878.44713126
279.32842173 414.283581603 792.669610014
278.719216209 414.754311793 797.713246439
278.386051203 413.473386721 802.604407445
278.772855828 414.96198223 807.486119521
279.723178787 413.02251311 812.518578845
279.710955491 413.227921106 817.587006867
274.903900666 413.830736461 819.569794249
274.458239454 413.895355336 823.33845077
283.299379254 414.866128148 829.063257049
278.050456407 414.675832729 858.914960354
279.020872722 414.982059223 877.357259621
279.619600212 414.947183201 873.606737218
279.824908186 414.143513572 878.269381751
279.484227923 422.757237742 788.357656639
279.336699097 422.793090451 793.943566368
